organization number,orgnum of the chain,orgnum of rented property's owner
972200913,,
972207713,,993441929
972208353,878620852,985987246
972209503,,
972210447,,
972211095,,
972213969,,
972214361,,940791901
972214558,,
972215120,986554270,996920917
972215473,,
972215481,,
972215910,,
972217832,,
972217964,,
972218243,878620852,925335894
972218480,,
972228257,,
972228273,878620852,
972228311,,
972235970,,
972235989,938641862,991730168
972235997,,
972239682,,
972239747,,
972239968,,
972240087,,
972240478,,
972240486,,
972240540,,
972240605,986554270,996920917
972240702,,
972240761,,
972241415,,
972241431,,
972242225,878620852,925335894
972243051,,
972252557,,
972280739,,
972280747,,
972280801,,
972285501,,
972285552,,
972285579,,
972285617,,
972285676,,
972285706,,
972286397,,
972286419,,
972286427,,
972286478,,
972286524,,
972286559,917891702,958944403
972286567,,
972290637,,
972290807,,
972290912,,
972290920,,
972290963,,
972291145,,
972291188,,
972291706,912450716,
972301760,,
972333123,,
972335002,965040986,
972339113,,
972339148,,
972339318,878620852,925335894
972339563,,
972339628,,
972339679,,
972339695,986554270,996920917
972339989,,
972340006,,
972340243,,
972340278,878620852,925335894
972346489,,
972360643,,
972397733,,
972397741,,
972397865,,
972397873,938641862,968457764
972398624,,
972398888,,
972399434,,
972399442,,
972399450,,
972399469,,
972399477,986554270,996920917
972418722,,
972517038,,976986601
972726109,,
972734284,,
972734675,,
972734713,,948758946
972734721,,984476485
972773816,,
972924768,878620852,956972949
972925098,,
972933228,,
973022881,,
973023837,,
973025406,,
973065807,,820710592
973073508,,928135152
973074245,,971251727
973076329,971272643,916882807
973076337,971272643,916882807
973076345,971272643,916882807
973076353,,
973076361,971272643,
973076388,971272643,
973076396,971272643,
973076418,971272643,
973076434,971272643,
973076442,971272643,
973076450,971272643,
973076469,971272643,
973076477,971272643,
973076485,971272643,
973076515,971272643,
973076922,,
973107690,971272643,944384448
973111965,938498318,930891126
973117599,986554270,996920917
973117602,986554270,996920917
973117629,986554270,996920917
973128507,956204860,956204860
973128515,947506579,
973138642,819780722,921383681
973138650,819780722,
973152556,,
973154710,,
973158902,,974533065
973162861,960033590,
973167189,,
973168630,,
973172301,,
973179179,,971381779
973183028,951103217,951103217
973183605,,
973190121,976694430,
973219375,,921969309
973228951,,977147719
973229214,878620852,
973231782,,
973233092,,974639920
973237209,878620852,925335894
973265059,,
973269852,,971431296
973270222,,
973276700,,
973278886,,973278886
973281216,,990494886
973281461,,
973288792,,
973297287,,964962766
973299174,,964962766
973304100,912450716,
973304143,,971439130
973304747,,
973306812,,
973334662,912450716,
973334727,912450716,
973334743,912450716,
973334794,,
973334832,912450716,
973334859,,983811345
973334875,,964338531
973335073,,976989694
973336436,996820645,997020529
973336452,,
973336460,,
973336622,,922623120
973337165,,
973337211,,
973337238,,
973337459,,
973337491,,959159092
973337785,,971259817
973337890,,
973338536,,964338531
973341200,,
973341235,,
973342355,,998562988
973345028,,970189297
973345656,,981303059
973345834,,
973346121,,
973346164,,977000041
973346199,,
973346407,,
973346504,,976990552
973346628,,988983837
973346679,,979250924
973347195,,983476732
973347284,,
973347446,,
973348434,,
973348892,,
973348914,,
973348973,989065971,
973351184,,
973351273,,993632821
973352091,,
973352156,,
973352350,,971363517
973352377,,
973352504,886308922,
973353055,,
973353942,,
973356550,,977258855
973357204,,
973357220,,955378024
973357360,,976820037
973357484,,
973382322,989810278,
973382349,,
973382373,,971460490
973382403,,
973382411,979737459,995733226
973382462,,
973382535,,993046132
973382551,878620852,925335894
973382586,,976986008
973382624,886308922,921875533
973382632,,
973382683,,
973382691,,970984712
973382942,,940155223
973383051,,894202912
973383159,991926577,
973383191,989810278,921383681
973383205,,
973383221,,
973383248,,
973383272,,
973383418,,
973383426,,
973383469,,
973383477,,
973383485,,
973383523,,
973383531,,871367442
973383558,,
973383574,,
973383620,912450716,
973390945,,948473429
973390953,,986474234
973435442,878620852,
973445936,,931073737
973445979,,
973445995,,
973446002,,959901064
973446525,,
973446584,,992410213
973448560,,
973448633,,
973448706,,
973448730,,
973448765,878620852,971474807
973448781,,
973448811,,928203336
973449044,992598778,
973449133,,
973449192,,
973449346,,
973449400,,
973449664,,
973449699,,922121893
973449850,,
973449931,,
973454307,,
973454404,,988520462
973454412,,
973454447,,
973454455,,
973454528,,971251042
973454544,924058625,922835683
973454870,,981448561
973455036,971272643,938111545
973455079,,
973455710,,
973455729,,976994191
973455737,,
973455745,,
973455753,,954647625
973455885,,
973455915,,
973455958,886308922,
973456075,878620852,
973456334,,864967272
973456423,,945578564
973456458,,
973456466,,976986458
973456636,,976986504
