organization number,name,organization form code,organization form description,industry code 1,industry code 1 description,industry code 2,industry code 2 description,industry code 3,industry code 3 description,auxiliary unit code,auxiliary unit code description,has registered number of employees,number of employees,website,postal address,postal town,postal code,postal municipality,postal municipality number,postal country,postal country code,business address,business post town,business postal code,business municipality,business municipality number,business country,business country code,institutional sector code,institutional sector code description,last submitted annual accounts,registration date in unit register,foundation date,registered in VAT register,voluntary VAT registered descriptions,registered in volunteer register,registration date of the Unit Register,registered in foundation register,bankrupt,bankruptcy date,under liquidation,under liquidation date,under compulsory liquidation or dissolution,compulsory dissolution due to lack of general manager date,compulsory dissolution due to lack of auditor date,compulsory dissolution due to lack of accounts date,compulsory dissolution due to insufficient board date,compulsory liquidation due to lack of deletion date,parent unit,language form,articles of association date,statutory purpose,activity,location address,location post town,location postal code,location municipality,location municipality number,location country,location country code,registreringsdatoIEnhetsregisteret,start date,ownership change date,closure date,organization form description (EN)
872339892,REGNBUEN BARNEHAGE MOSJØEN AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,19,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,960971779,,,,,Helga Viks veg 1,MOSJØEN,8657,VEFSN,1824,Norge,NO,1995-02-23,1992-08-01,,,Subunit of businesses and public administration
873075392,STIFTELSEN STEINERBARNEHAGEN I MOSS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,19,steinerbarnehagen-moss.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,993140244,,,,,Veverbakken 42,MOSS,1536,MOSS,3103,Norge,NO,1995-02-22,1993-11-05,2011-09-29,,Subunit of businesses and public administration
873076372,DUMPA KANVAS-MUSIKKBARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,24,dumpa.kanvas.no/,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,971272643,,,,,Etterstadsletta 94,OSLO,0659,OSLO,0301,Norge,NO,1995-02-22,1989-09-01,,,Subunit of businesses and public administration
873111992,"TROLLSTUA, FRELSESARMEENS BARNEHAGE I ASKER AS",BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,21,staging.frelsesarmeen.no/barn-og-unge/frelsesarmeens-barnehager,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,829976102,,,,,Brendsrudtoppen 60,ASKER,1385,ASKER,3203,Norge,NO,1995-02-22,1971-12-29,2023-01-01,,Subunit of businesses and public administration
873131632,TØNSBERG MONTESSORI BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,25,www.tonsbergmontessori.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,989500058,,,,,Robergveien 347,BARKÅKER,3157,TØNSBERG,3905,Norge,NO,1995-02-22,1992-01-01,2005-12-20,,Subunit of businesses and public administration
873138882,PREG BARNEHAGER FREDLY AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,17,www.fredlybarnehage.nlm.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930391646,,,,,Gurannveien 3,HOLMESTRAND,3089,HOLMESTRAND,3903,Norge,NO,1995-02-22,1991-07-01,2023-01-01,,Subunit of businesses and public administration
873157232,PREG BARNEHAGER TRYGGHEIMVEGEN AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,41,tryggheim.skyl.no/,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930391905,,,,,Tryggheimvegen 20,NÆRBØ,4365,HÅ,1119,Norge,NO,1995-02-23,1979-01-02,2023-01-01,,Subunit of businesses and public administration
873158352,AKSDAL BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,22,,Postboks 93,AKSDAL,5575,TYSVÆR,1146,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,986527575,,,,,Aksdalsvegen 167,AKSDAL,5570,TYSVÆR,1146,Norge,NO,1995-02-23,1972-12-25,2021-07-01,,Subunit of businesses and public administration
873167092,KLOKKARVIK BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,46,,Ternholmvegen 2,RONG,5337,ØYGARDEN,4626,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,922530890,,,,,Gamle Kyrkjevegen 14,KLOKKARVIK,5378,ØYGARDEN,4626,Norge,NO,1995-02-23,1989-01-02,2020-01-01,,Subunit of businesses and public administration
873190132,NYLAND STUDENTBARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,23,samskipnaden.no/barnehager/vare-barnehager/nyland-studentbarnehage,c/o Arktiske Studentsamskipnad/nTeorifagbygget Hus 2/nUniversitetsvegen 29,TROMSØ,9019,TROMSØ,5501,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930541222,,,,,Follumsvei 27,ALTA,9510,ALTA,5601,Norge,NO,1995-02-23,1989-01-02,2023-01-01,,Subunit of businesses and public administration
873263792,LUNDEGÅRD BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,23,www.lundegardbarnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,985049335,,,,,Haugen 2,SANDNES,4323,SANDNES,1108,Norge,NO,1995-02-23,1965-12-31,2003-08-01,,Subunit of businesses and public administration
873280492,ULVØYA BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,13,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,914985307,,,,,Fjordveien 2,OSLO,0139,OSLO,0301,Norge,NO,1995-02-22,1971-12-29,2017-11-27,,Subunit of businesses and public administration
873348712,SVORKMO BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,20,,Allfarveien 5,ORKANGER,7300,ORKLAND,5059,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,998780381,,,,,Årlivollvegen 19,SVORKMO,7327,ORKLAND,5059,Norge,NO,1995-02-23,1978-11-17,2012-09-01,,Subunit of businesses and public administration
